section,question_number,main_question,full_question,sub_question,option_1,option_2,option_3,option_4,correct_option,feedback_1,feedback_2,feedback_3,feedback_4,min_value,max_value,solution,image_url,units,Unnamed: 19
General Kinematics,3,General Kinematics Q3,"Proximal Joint: Position 1 $(1.103, 0.764)$; Position 2 $(1.672, 1.178)$. Distal Joint: Position 1 $(1.321, 1.099)$; Position 2 $(2.052, 1.302)$. Centre of Gravity: Position 1 $(1.197, 0.983)$; Position 2 $(1.836, 1.231)$. Calculate the resultant linear displacement of the centre of mass of the segment.",What is the resultant linear displacement of the CoM of the segment?,,,,,,,,,,$0.68$,$0.69$,"$**1) How would you calculate the resultant linear displacement of the CoM of the segment?** Compute the change in (x) and (y) of the centre of mass (CoM) between positions, then take the Euclidean norm: [ \Delta x = x_2-x_1,\qquad \Delta y = y_2-y_1,\qquad s=\sqrt{(\Delta x)^2+(\Delta y)^2}. ] **2) What is the resultant linear displacement of the CoM of the segment?** [ \Delta x = 1.836-1.197 = 0.639~\text{m},\qquad \Delta y = 1.231-0.983 = 0.248~\text{m}, ] [ s=\sqrt{0.639^2+0.248^2}\approx \sqrt{0.408+0.0615}\approx \sqrt{0.4695}\approx 0.685~\text{m}. ] So, the CoM s resultant linear displacement is **about (0.685~\mathrm{m})**.$",,m,
General Kinematics,4,General Kinematics Q4,"Proximal Joint: Position 1 $(1.103, 0.764)$; Position 2 $(1.672, 1.178)$. Distal Joint: Position 1 $(1.321, 1.099)$; Position 2 $(2.052, 1.302)$. Centre of Gravity: Position 1 $(1.197, 0.983)$; Position 2 $(1.836, 1.231)$. Calculate the angular displacement of the segment.",How would you solve for the angle of the segment with respect to the horizontal?,Draw a table to represent the angles throughout the motion,Use the pythagorean theorem to solve for the angle of the resultant vector,Use the identity tan = y component / x component to solve for the angle,Find the difference between the angle of the CoG between frames,3,"Useful for organizing, but it doesn t compute an angle.","Pythagorean gives a magnitude, not an angle.","Correct: = atan2( y, x).",That step is for displacement after you have both angles.,74.8,75,"**1) How would you solve for the angle of the segment with respect to the horizontal?** Compute the proximal distal vector: ($\Delta x=x_d-x_p, \Delta y=y_d-y_p$). Find the horizontal-referenced angle ($\theta_h=\operatorname{atan2}(\Delta y, \Delta x)$), then convert to vertical: ($\theta_v=90^\circ-\theta_h$) (use absolute value per your convention). --- **2) What is the angle of the segment in Frame #1 with respect to $0^\circ$ (vertical)?** ($\theta_{v1}=56.9^\circ$) (given as the correct vertical-reference angle). --- **3) What is the angle of the segment in Frame #2 with respect to $0^\circ$ (vertical)?** ($\theta_{v2}=18.1^\circ$) (given as the correct vertical-reference angle). --- **4) What is the next step?** **sum** the vertical-reference angles to obtain total excursion: ($\Delta\theta=\theta_{v1}+\theta_{v2}$). --- **5) What is the angular displacement?** $[ \Delta\theta ;=; 56.9^\circ ;+; 18.1^\circ ;=; \boxed{75.0^\circ}. ]$",,Degrees,
General Kinematics,4,General Kinematics Q4,"Proximal Joint: Position 1 $(1.103, 0.764)$; Position 2 $(1.672, 1.178)$. Distal Joint: Position 1 $(1.321, 1.099)$; Position 2 $(2.052, 1.302)$. Centre of Gravity: Position 1 $(1.197, 0.983)$; Position 2 $(1.836, 1.231)$. Calculate the angular displacement of the segment.",What is the angle of the segment in Frame #1 with respect to vertical?,56.9,141,-56.9,-141,1,"$Correct: from P(1.103,0.764) D(1.321,1.099), x=0.218, y=0.335 56.9 (from +x).$",No the vector is in the first quadrant; this is obtuse.,Same magnitude but wrong sign.,Wrong magnitude and sign.,74.8,75,"**1) How would you solve for the angle of the segment with respect to the horizontal?** Compute the proximal distal vector: ($\Delta x=x_d-x_p, \Delta y=y_d-y_p$). Find the horizontal-referenced angle ($\theta_h=\operatorname{atan2}(\Delta y, \Delta x)$), then convert to vertical: ($\theta_v=90^\circ-\theta_h$) (use absolute value per your convention). --- **2) What is the angle of the segment in Frame #1 with respect to $0^\circ$ (vertical)?** ($\theta_{v1}=56.9^\circ$) (given as the correct vertical-reference angle). --- **3) What is the angle of the segment in Frame #2 with respect to $0^\circ$ (vertical)?** ($\theta_{v2}=18.1^\circ$) (given as the correct vertical-reference angle). --- **4) What is the next step?** **sum** the vertical-reference angles to obtain total excursion: ($\Delta\theta=\theta_{v1}+\theta_{v2}$). --- **5) What is the angular displacement?** $[ \Delta\theta ;=; 56.9^\circ ;+; 18.1^\circ ;=; \boxed{75.0^\circ}. ]$",,Degrees,
General Kinematics,4,General Kinematics Q4,"Proximal Joint: Position 1 $(1.103, 0.764)$; Position 2 $(1.672, 1.178)$. Distal Joint: Position 1 $(1.321, 1.099)$; Position 2 $(2.052, 1.302)$. Centre of Gravity: Position 1 $(1.197, 0.983)$; Position 2 $(1.836, 1.231)$. Calculate the angular displacement of the segment.",What is the angle of the segment in Frame #2 with respect to vertical?,321.9,18.1,56.9,-18.1,2,No this is 360 38.1 ; use the acute angle from +x.,"$Correct: from P(1.672,1.178) D(2.052,1.302), x=0.380, y=0.124 18.1 .$",This is the Frame #1 angle.,Same magnitude as correct but wrong sign.,74.8,75,"**1) How would you solve for the angle of the segment with respect to the horizontal?** Compute the proximal distal vector: ($\Delta x=x_d-x_p, \Delta y=y_d-y_p$). Find the horizontal-referenced angle ($\theta_h=\operatorname{atan2}(\Delta y, \Delta x)$), then convert to vertical: ($\theta_v=90^\circ-\theta_h$) (use absolute value per your convention). --- **2) What is the angle of the segment in Frame #1 with respect to $0^\circ$ (vertical)?** ($\theta_{v1}=56.9^\circ$) (given as the correct vertical-reference angle). --- **3) What is the angle of the segment in Frame #2 with respect to $0^\circ$ (vertical)?** ($\theta_{v2}=18.1^\circ$) (given as the correct vertical-reference angle). --- **4) What is the next step?** **sum** the vertical-reference angles to obtain total excursion: ($\Delta\theta=\theta_{v1}+\theta_{v2}$). --- **5) What is the angular displacement?** $[ \Delta\theta ;=; 56.9^\circ ;+; 18.1^\circ ;=; \boxed{75.0^\circ}. ]$",,Degrees,
General Kinematics,4,General Kinematics Q4,"Proximal Joint: Position 1 $(1.103, 0.764)$; Position 2 $(1.672, 1.178)$. Distal Joint: Position 1 $(1.321, 1.099)$; Position 2 $(2.052, 1.302)$. Centre of Gravity: Position 1 $(1.197, 0.983)$; Position 2 $(1.836, 1.231)$. Calculate the angular displacement of the segment.",What is the next step?,Find the difference between the angles,Sum up the lengths,Use the pythagorean theorem,Sum up the angles,4,"Not appropriate use sum, not change.",Lengths are irrelevant here.,"Pythagorean is for magnitudes, not angle change.",Correct: = + .,74.8,75,"**1) How would you solve for the angle of the segment with respect to the horizontal?** Compute the proximal distal vector: ($\Delta x=x_d-x_p, \Delta y=y_d-y_p$). Find the horizontal-referenced angle ($\theta_h=\operatorname{atan2}(\Delta y, \Delta x)$), then convert to vertical: ($\theta_v=90^\circ-\theta_h$) (use absolute value per your convention). --- **2) What is the angle of the segment in Frame #1 with respect to $0^\circ$ (vertical)?** ($\theta_{v1}=56.9^\circ$) (given as the correct vertical-reference angle). --- **3) What is the angle of the segment in Frame #2 with respect to $0^\circ$ (vertical)?** ($\theta_{v2}=18.1^\circ$) (given as the correct vertical-reference angle). --- **4) What is the next step?** **sum** the vertical-reference angles to obtain total excursion: ($\Delta\theta=\theta_{v1}+\theta_{v2}$). --- **5) What is the angular displacement?** $[ \Delta\theta ;=; 56.9^\circ ;+; 18.1^\circ ;=; \boxed{75.0^\circ}. ]$",,Degrees,
General Kinematics,4,General Kinematics Q4,"Proximal Joint: Position 1 $(1.103, 0.764)$; Position 2 $(1.672, 1.178)$. Distal Joint: Position 1 $(1.321, 1.099)$; Position 2 $(2.052, 1.302)$. Centre of Gravity: Position 1 $(1.197, 0.983)$; Position 2 $(1.836, 1.231)$. Calculate the angular displacement of the segment.",What is the angular displacement?,,,,,,,,,,74.8,75,"**1) How would you solve for the angle of the segment with respect to the horizontal?** Compute the proximal distal vector: ($\Delta x=x_d-x_p, \Delta y=y_d-y_p$). Find the horizontal-referenced angle ($\theta_h=\operatorname{atan2}(\Delta y, \Delta x)$), then convert to vertical: ($\theta_v=90^\circ-\theta_h$) (use absolute value per your convention). --- **2) What is the angle of the segment in Frame #1 with respect to $0^\circ$ (vertical)?** ($\theta_{v1}=56.9^\circ$) (given as the correct vertical-reference angle). --- **3) What is the angle of the segment in Frame #2 with respect to $0^\circ$ (vertical)?** ($\theta_{v2}=18.1^\circ$) (given as the correct vertical-reference angle). --- **4) What is the next step?** **sum** the vertical-reference angles to obtain total excursion: ($\Delta\theta=\theta_{v1}+\theta_{v2}$). --- **5) What is the angular displacement?** $[ \Delta\theta ;=; 56.9^\circ ;+; 18.1^\circ ;=; \boxed{75.0^\circ}. ]$",,Degrees,
General Kinematics,5,General Kinematics Q5,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the x displacement of the segment.",What is the first step in solving any general kinematics questions?,Draw a force table,Draw a free body diagram,Draw a representative diagram (plot the points),Use vector addition,3,"A force table is for dynamics, not needed here.","A free body diagram is for forces, not pure kinematics.",Correct start by plotting the points so you can read off $x$ and $y$ changes.,Vector addition isn t the first step for this task.,5.49,5.51,"$**1) What is the first step in solving any general kinematics questions?** Identify the relevant points and choose a reference direction; here, use the segment s centre of gravity (CoG) and compute its change in (x): (\Delta x = x_{\text{CoG},2}-x_{\text{CoG},1}) (positive to the right). --- **2) How would you solve for the (x) displacement value of the segment?** Use the CoG (x)-coordinates at Position 1 and Position 2: [ \Delta x = x_2 - x_1. ] --- **3) What is the (x) displacement value of the segment?** [ \Delta x = 8.0 - 2.5 = 5.5~\text{m}\quad (\text{to the right}). ]$",,m,
General Kinematics,5,General Kinematics Q5,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the x displacement of the segment.",How would you solve for the x displacement value of the segment?,Draw a table to represent the x values throughout the motion,Use the pythagorean theorem to solve for the resultant vector,Find the difference between the x values of the CoG between frames,Use vector addition and plot the segment,3,Helpful but not necessary focus on the initial and final $x$-values.,"The Pythagorean theorem gives resultant magnitude, not the $x$ component.",Correct: $\Delta x = x_2 - x_1$ for the centre of gravity.,"Plotting is useful, but subtraction of $x$-values is the key step.",5.49,5.51,"$**1) What is the first step in solving any general kinematics questions?** Identify the relevant points and choose a reference direction; here, use the segment s centre of gravity (CoG) and compute its change in (x): (\Delta x = x_{\text{CoG},2}-x_{\text{CoG},1}) (positive to the right). --- **2) How would you solve for the (x) displacement value of the segment?** Use the CoG (x)-coordinates at Position 1 and Position 2: [ \Delta x = x_2 - x_1. ] --- **3) What is the (x) displacement value of the segment?** [ \Delta x = 8.0 - 2.5 = 5.5~\text{m}\quad (\text{to the right}). ]$",,m,
General Kinematics,5,General Kinematics Q5,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the x displacement of the segment.",What is the x displacement value of the segment?,,,,,,,,,,5.49,5.51,"$**1) What is the first step in solving any general kinematics questions?** Identify the relevant points and choose a reference direction; here, use the segment s centre of gravity (CoG) and compute its change in (x): (\Delta x = x_{\text{CoG},2}-x_{\text{CoG},1}) (positive to the right). --- **2) How would you solve for the (x) displacement value of the segment?** Use the CoG (x)-coordinates at Position 1 and Position 2: [ \Delta x = x_2 - x_1. ] --- **3) What is the (x) displacement value of the segment?** [ \Delta x = 8.0 - 2.5 = 5.5~\text{m}\quad (\text{to the right}). ]$",,m,
General Kinematics,6,General Kinematics Q6,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the y displacement of the segment.",What is the first step in solving any general kinematics questions?,Draw a force table,Draw a free body diagram,Draw a representative diagram (plot the points),Use vector addition,C,Not the right tool here this is for statics/dynamics.,That s for dynamics; start by organizing the geometry.,Correct: sketch/plot the points for each frame.,"Vector addition can help later, but it isn t the first step.",$2.49$,$2.51$,"$**1) What is the first step in solving any general kinematics questions?** Identify the relevant points and choose a reference direction; here, use the segment s centre of gravity (CoG) and compute its change in (y): (\Delta y = y_{\text{CoG},2}-y_{\text{CoG},1}) (positive upward). --- **2) How would you solve for the y displacement value of the segment?** Use the CoG (y)-coordinates at Position 1 and Position 2: [ \Delta y = y_2 - y_1. ] --- **3) What is the y displacement value of the segment?** [ \Delta y = 6.5 - 4.0 = 2.5~\text{m}\quad (\text{upward}). ]$",,m,
General Kinematics,6,General Kinematics Q6,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the y displacement of the segment.",How would you solve for the y displacement value of the segment?,Draw a table to represent the y values throughout the motion,Use the pythagorean theorem to solve for the resultant vector,Find the difference between the y values of the CoG between frames,Use vector addition and plot the segment,C,Organizing values is helpful but doesn t compute the displacement.,"This finds a magnitude of a resultant, not a single-axis change.","Correct: $\Delta y = y_2 - y_1 = 6.5 - 4.0 = 2.5, \mathrm{m}$.",Unnecessary for this single-axis displacement.,$2.49$,$2.51$,"$**1) What is the first step in solving any general kinematics questions?** Identify the relevant points and choose a reference direction; here, use the segment s centre of gravity (CoG) and compute its change in (y): (\Delta y = y_{\text{CoG},2}-y_{\text{CoG},1}) (positive upward). --- **2) How would you solve for the y displacement value of the segment?** Use the CoG (y)-coordinates at Position 1 and Position 2: [ \Delta y = y_2 - y_1. ] --- **3) What is the y displacement value of the segment?** [ \Delta y = 6.5 - 4.0 = 2.5~\text{m}\quad (\text{upward}). ]$",,m,
General Kinematics,6,General Kinematics Q6,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the y displacement of the segment.",What is the y displacement value of the segment?,,,,,,,,,,$2.49$,$2.51$,"$**1) What is the first step in solving any general kinematics questions?** Identify the relevant points and choose a reference direction; here, use the segment s centre of gravity (CoG) and compute its change in (y): (\Delta y = y_{\text{CoG},2}-y_{\text{CoG},1}) (positive upward). --- **2) How would you solve for the y displacement value of the segment?** Use the CoG (y)-coordinates at Position 1 and Position 2: [ \Delta y = y_2 - y_1. ] --- **3) What is the y displacement value of the segment?** [ \Delta y = 6.5 - 4.0 = 2.5~\text{m}\quad (\text{upward}). ]$",,m,
General Kinematics,7,General Kinematics Q7,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the resultant linear displacement of the centre of mass of the segment.",How would you calculate the resultant linear displacement of the CoM of the segment?,Draw a table to represent the y values throughout the motion,"use the pythagorean theorem (i.e., $\text{resultant}^2=(\Delta x)^2+(\Delta y)^2$)",Multiply x-displacement by y-displacement,Find the difference between the y values of the CoG between frames,2,"Helpful for organization, but it doesn t compute the resultant.",Correct: use the Pythagorean theorem on the $\Delta x$ and $\Delta y$ components.,This multiplies components resultant comes from squaring and adding the components.,This only uses the y change; you also need $\Delta x$.,$6.03$,$6.06$,"$**1) How would you calculate the resultant linear displacement of the CoM of the segment?** Compute the change in (x) and (y) of the CoM between positions, then take the Euclidean norm: [ \Delta x=x_2-x_1, \Delta y=y_2-y_1, s=\sqrt{(\Delta x)^2+(\Delta y)^2}. ] **2) What is the resultant linear displacement of the CoM of the segment?** [ \Delta x=8.0-2.5=5.5~\text{m},\qquad \Delta y=6.5-4.0=2.5~\text{m}, ] [ s=\sqrt{5.5^2+2.5^2}=\sqrt{30.25+6.25}=\sqrt{36.50}\approx 6.04~\text{m}. ] So, the CoM s resultant linear displacement is **about (6.04~\mathrm{m})**.$",,m,
General Kinematics,7,General Kinematics Q7,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the resultant linear displacement of the centre of mass of the segment.",What is the resultant linear displacement of the CoM of the segment?,,,,,,,,,,$6.03$,$6.06$,"$**1) How would you calculate the resultant linear displacement of the CoM of the segment?** Compute the change in (x) and (y) of the CoM between positions, then take the Euclidean norm: [ \Delta x=x_2-x_1, \Delta y=y_2-y_1, s=\sqrt{(\Delta x)^2+(\Delta y)^2}. ] **2) What is the resultant linear displacement of the CoM of the segment?** [ \Delta x=8.0-2.5=5.5~\text{m},\qquad \Delta y=6.5-4.0=2.5~\text{m}, ] [ s=\sqrt{5.5^2+2.5^2}=\sqrt{30.25+6.25}=\sqrt{36.50}\approx 6.04~\text{m}. ] So, the CoM s resultant linear displacement is **about (6.04~\mathrm{m})**.$",,m,
General Kinematics,8,General Kinematics Q8,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the angular displacement of the segment",How would you solve for the angle of the segment with respect to the horizontal?,Draw a table to represent the angles throughout the motion,Use the pythagorean theorem to solve for the angle of the resultant vector,Use the identity $\tan\alpha=\dfrac{y \text{component}}{x \text{component}}$ to solve for the angle,Find the difference between the angle of the CoG between frames,3,"Useful for organizing, but not how you compute the angle.","The Pythagorean theorem gives a magnitude, not an angle.",Correct: use $\tan\alpha=\dfrac{\Delta y}{\Delta x}$.,This step comes later when finding angular displacement.,$36.80$,$36.95$,"**1) Define the segment direction (proximal distal) and the angle from the horizontal** $\Delta x = x_d - x_p, \Delta y = y_d - y_p, \theta = \operatorname{atan2}(\Delta y, \Delta x) \text{(deg)}.$ --- **Frame #1 (P1 Prox $(3.0,5.0)$, Dist $(2.0,3.0)$)** $\Delta x_1 = 2.0 - 3.0 = -1.0, \Delta y_1 = 3.0 - 5.0 = -2.0.$ $\phi_1 = \tan^{-1}!\left(\left|\frac{\Delta y_1}{\Delta x_1}\right|\right) = \tan^{-1}(2) = 63.435^\circ.$ Since $(\Delta x_1, \Delta y_1)$ is in QIII, $\theta_1 = 180^\circ + \phi_1 = 180^\circ + 63.435^\circ = 243.435^\circ \approx 243.43^\circ.$ (Alt: $\operatorname{atan2}(-2,-1) = -116.565^\circ \Rightarrow \theta_1 = -116.565^\circ + 360^\circ = 243.435^\circ$.) --- **Frame #2 (P2 Prox $(7.0,6.0)$, Dist $(9.0,7.0)$)** $\Delta x_2 = 9.0 - 7.0 = 2.0, \Delta y_2 = 7.0 - 6.0 = 1.0.$ Quadrant I: $\theta_2 = \tan^{-1}!\left(\frac{\Delta y_2}{\Delta x_2}\right) = \tan^{-1}!\left(\frac{1}{2}\right) = 26.565^\circ \approx 26.57^\circ.$ --- **Sum of the angles (your convention)** $\Delta \theta = \theta_1 + \theta_2 = 243.435^\circ + 26.565^\circ = 270.000^\circ.$ So, the segment s total angular displacement is **$270.00^\circ$**.",,Degrees,
General Kinematics,8,General Kinematics Q8,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the angular displacement of the segment",What is the angle of the segment in Frame #1 with respect to vertical?,$56.9^\circ$,$243.43^\circ$,$63.43^\circ$,$26.57^\circ$,4,Too large for the given coordinates.,Correct: $\alpha_1=\arctan!\left(\dfrac{|\Delta x|}{|\Delta y|}\right)\approx 243.43^\circ$.,This is the angle w.r.t. the horizontal.,"This is a direction w.r.t. the horizontal, not the vertical reference.",$36.80$,$36.95$,"**1) Define the segment direction (proximal distal) and the angle from the horizontal** $\Delta x = x_d - x_p, \Delta y = y_d - y_p, \theta = \operatorname{atan2}(\Delta y, \Delta x) \text{(deg)}.$ --- **Frame #1 (P1 Prox $(3.0,5.0)$, Dist $(2.0,3.0)$)** $\Delta x_1 = 2.0 - 3.0 = -1.0, \Delta y_1 = 3.0 - 5.0 = -2.0.$ $\phi_1 = \tan^{-1}!\left(\left|\frac{\Delta y_1}{\Delta x_1}\right|\right) = \tan^{-1}(2) = 63.435^\circ.$ Since $(\Delta x_1, \Delta y_1)$ is in QIII, $\theta_1 = 180^\circ + \phi_1 = 180^\circ + 63.435^\circ = 243.435^\circ \approx 243.43^\circ.$ (Alt: $\operatorname{atan2}(-2,-1) = -116.565^\circ \Rightarrow \theta_1 = -116.565^\circ + 360^\circ = 243.435^\circ$.) --- **Frame #2 (P2 Prox $(7.0,6.0)$, Dist $(9.0,7.0)$)** $\Delta x_2 = 9.0 - 7.0 = 2.0, \Delta y_2 = 7.0 - 6.0 = 1.0.$ Quadrant I: $\theta_2 = \tan^{-1}!\left(\frac{\Delta y_2}{\Delta x_2}\right) = \tan^{-1}!\left(\frac{1}{2}\right) = 26.565^\circ \approx 26.57^\circ.$ --- **Sum of the angles (your convention)** $\Delta \theta = \theta_1 + \theta_2 = 243.435^\circ + 26.565^\circ = 270.000^\circ.$ So, the segment s total angular displacement is **$270.00^\circ$**.",,Degrees,
General Kinematics,8,General Kinematics Q8,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the angular displacement of the segment",What is the angle of the segment in Frame #2 with respect to vertical?,$45^\circ$,$18.1^\circ$,$63.43^\circ$,$26.57^\circ$,3,Not for these coordinates.,Too small.,incorrect,Correct: $\alpha_2=\arctan!\left(\dfrac{|\Delta x|}{|\Delta y|}\right)\approx 26.57^\circ$.,$36.80$,$36.95$,"**1) Define the segment direction (proximal distal) and the angle from the horizontal** $\Delta x = x_d - x_p, \Delta y = y_d - y_p, \theta = \operatorname{atan2}(\Delta y, \Delta x) \text{(deg)}.$ --- **Frame #1 (P1 Prox $(3.0,5.0)$, Dist $(2.0,3.0)$)** $\Delta x_1 = 2.0 - 3.0 = -1.0, \Delta y_1 = 3.0 - 5.0 = -2.0.$ $\phi_1 = \tan^{-1}!\left(\left|\frac{\Delta y_1}{\Delta x_1}\right|\right) = \tan^{-1}(2) = 63.435^\circ.$ Since $(\Delta x_1, \Delta y_1)$ is in QIII, $\theta_1 = 180^\circ + \phi_1 = 180^\circ + 63.435^\circ = 243.435^\circ \approx 243.43^\circ.$ (Alt: $\operatorname{atan2}(-2,-1) = -116.565^\circ \Rightarrow \theta_1 = -116.565^\circ + 360^\circ = 243.435^\circ$.) --- **Frame #2 (P2 Prox $(7.0,6.0)$, Dist $(9.0,7.0)$)** $\Delta x_2 = 9.0 - 7.0 = 2.0, \Delta y_2 = 7.0 - 6.0 = 1.0.$ Quadrant I: $\theta_2 = \tan^{-1}!\left(\frac{\Delta y_2}{\Delta x_2}\right) = \tan^{-1}!\left(\frac{1}{2}\right) = 26.565^\circ \approx 26.57^\circ.$ --- **Sum of the angles (your convention)** $\Delta \theta = \theta_1 + \theta_2 = 243.435^\circ + 26.565^\circ = 270.000^\circ.$ So, the segment s total angular displacement is **$270.00^\circ$**.",,Degrees,
General Kinematics,8,General Kinematics Q8,"Proximal Joint: Position 1 $(3.0, 5.0)$; Position 2 $(7.0, 6.0)$. Distal Joint: Position 1 $(2.0, 3.0)$; Position 2 $(9.0, 7.0)$. Centre of Gravity: Position 1 $(2.5, 4.0)$; Position 2 $(8.0, 6.5)$. Calculate the angular displacement of the segment",What is the next step?,Sum up the angles,Sum up the lengths,Use the pythagorean theorem,Find the difference between the angles,1,Correct,Linear lengths are unrelated to the rotation.,"This gives magnitudes, not a change in orientation.",Incorrect,$36.80$,$36.95$,"**1) Define the segment direction (proximal distal) and the angle from the horizontal** $\Delta x = x_d - x_p, \Delta y = y_d - y_p, \theta = \operatorname{atan2}(\Delta y, \Delta x) \text{(deg)}.$ --- **Frame #1 (P1 Prox $(3.0,5.0)$, Dist $(2.0,3.0)$)** $\Delta x_1 = 2.0 - 3.0 = -1.0, \Delta y_1 = 3.0 - 5.0 = -2.0.$ $\phi_1 = \tan^{-1}!\left(\left|\frac{\Delta y_1}{\Delta x_1}\right|\right) = \tan^{-1}(2) = 63.435^\circ.$ Since $(\Delta x_1, \Delta y_1)$ is in QIII, $\theta_1 = 180^\circ + \phi_1 = 180^\circ + 63.435^\circ = 243.435^\circ \approx 243.43^\circ.$ (Alt: $\operatorname{atan2}(-2,-1) = -116.565^\circ \Rightarrow \theta_1 = -116.565^\circ + 360^\circ = 243.435^\circ$.) --- **Frame #2 (P2 Prox $(7.0,6.0)$, Dist $(9.0,7.0)$)** $\Delta x_2 = 9.0 - 7.0 = 2.0, \Delta y_2 = 7.0 - 6.0 = 1.0.$ Quadrant I: $\theta_2 = \tan^{-1}!\left(\frac{\Delta y_2}{\Delta x_2}\right) = \tan^{-1}!\left(\frac{1}{2}\right) = 26.565^\circ \approx 26.57^\circ.$ --- **Sum of the angles (your convention)** $\Delta \theta = \theta_1 + \theta_2 = 243.435^\circ + 26.565^\circ = 270.000^\circ.$ So, the segment s total angular displacement is **$270.00^\circ$**.",,Degrees,
